24	64424509440	79.531456	810050672.78	0.754418
24	64424509440	79.859932	806718811.63	0.751315
24	64424509440	79.541679	809946561.98	0.754322
48	128849018880	83.3296165	1546257192.72	1.440064
48	128849018880	78.0094945	1651709445.19	1.538274
48	128849018880	82.6411245	1559139225.89	1.452062
72	193273528320	79.66204567	2426168280.05	2.259545
72	193273528320	79.273394	2438062994.00	2.270623
72	193273528320	79.53384667	2430078971.66	2.263187
96	257698037760	81.71640775	3153565420.40	2.936987
96	257698037760	82.148697	3136970483.66	2.921531
96	257698037760	81.02304075	3180552536.35	2.962120
120	322122547200	91.8398684	3507436942.28	3.266555
120	322122547200	91.2376038	3530589732.56	3.288118
120	322122547200	90.825235	3546619474.20	3.303047
144	386547056640	108.7566058	3554239797.00	3.310144
144	386547056640	107.9961127	3579268244.90	3.333453
144	386547056640	110.0310262	3513073267.67	3.271804
168	450971566080	126.7270346	3558605846.06	3.314210
168	450971566080	125.9793016	3579727466.77	3.333881
168	450971566080	126.6380691	3561105828.07	3.316538
192	515396075520	143.505991	3591460342.03	3.344808
192	515396075520	145.7091446	3537156688.73	3.294234
192	515396075520	144.519123	3566282889.22	3.321360
216	579820584960	157.0399526	3692185176.60	3.438615
216	579820584960	160.067978	3622339659.72	3.373567
216	579820584960	155.2152251	3735590916.06	3.479040
240	644245094400	176.6019699	3648006275.16	3.397471
240	644245094400	170.3623933	3781615660.13	3.521904
240	644245094400	167.933786	3836304234.81	3.572837
264	708669603840	184.1375759	3848587667.90	3.584277
264	708669603840	183.0226163	3872032966.59	3.606112
264	708669603840	180.2845931	3930838413.26	3.660879
288	773094113280	195.8073183	3948239115.17	3.677084
288	773094113280	220.2995388	3509286117.32	3.268277
288	773094113280	215.4766413	3587832578.02	3.341429
